指令,模型名称,提示词方法,解析成功率,解析正确率,响应时间(s),解析结果,错误信息,错误类型,复杂度分级,意图标签,意图识别准确率,参数抽取准确率,合法JSON率,参数匹配F1,失败兜底成功率,area_正确率,drone_num_正确率,path_正确率,has_obstacle_正确率,obstacle_position_正确率,height_正确率
让无人机在 10 米高度绕农田飞行一圈,doubao-1-5-pro-32k-250115,普通提示词,True,False,3.0221,"{""area"": null, ""drone_num"": 1, ""path"": ""circle"", ""area_bounds"": null, ""has_obstacle"": false, ""obstacle_position"": null, ""height"": 10}",,类型错误: area(NoneType≠str),简单,未知,True,0.5,False,0.4444,False,False,False,False,True,True,True
让无人机在 10 米高度绕农田飞行一圈,doubao-1-5-pro-32k-250115,普通提示词,True,False,2.9935,"{""area"": null, ""drone_num"": 1, ""path"": ""circle"", ""area_bounds"": null, ""has_obstacle"": false, ""obstacle_position"": null, ""height"": 10}",,类型错误: area(NoneType≠str),简单,未知,True,0.5,False,0.4444,False,False,False,False,True,True,True
巡检 D04 地块，无人机数量 2 台，路径采用网格状,doubao-1-5-pro-32k-250115,普通提示词,True,True,2.7011,"{""area"": ""D04"", ""drone_num"": 2, ""path"": ""grid"", ""area_bounds"": null, ""has_obstacle"": false, ""obstacle_position"": null, ""height"": 10}",,,简单,巡检,False,1.0,False,1.0,False,True,True,True,True,True,True
巡检 D04 地块，无人机数量 2 台，路径采用网格状,doubao-1-5-pro-32k-250115,普通提示词,True,True,3.2391,"{""area"": ""D04"", ""drone_num"": 2, ""path"": ""grid"", ""area_bounds"": null, ""has_obstacle"": false, ""obstacle_position"": null, ""height"": 10}",,,简单,巡检,False,1.0,False,1.0,False,True,True,True,True,True,True
巡检 D04 地块，无人机数量 2 台，路径采用网格状,doubao-1-5-pro-32k-250115,普通提示词,True,True,2.6834,"{""area"": ""D04"", ""drone_num"": 2, ""path"": ""grid"", ""area_bounds"": null, ""has_obstacle"": false, ""obstacle_position"": null, ""height"": 10}",,,简单,巡检,False,1.0,False,1.0,False,True,True,True,True,True,True
巡检 D04 地块，无人机数量 2 台，路径采用网格状,doubao-1-5-pro-32k-250115,普通提示词,True,True,2.2087,"{""area"": ""D04"", ""drone_num"": 2, ""path"": ""grid"", ""area_bounds"": null, ""has_obstacle"": false, ""obstacle_position"": null, ""height"": 10}",,,简单,巡检,False,1.0,False,1.0,False,True,True,True,True,True,True
巡检 D04 地块，无人机数量 2 台，路径采用网格状,doubao-1-5-pro-32k-250115,普通提示词,True,True,2.6182,"{""area"": ""D04"", ""drone_num"": 2, ""path"": ""grid"", ""area_bounds"": null, ""has_obstacle"": false, ""obstacle_position"": null, ""height"": 10}",,,简单,巡检,False,1.0,False,1.0,False,True,True,True,True,True,True
"E05 地块有电线杆障碍，坐标 (50,80)，请绕开",doubao-1-5-pro-32k-250115,普通提示词,True,False,2.5164,"{""area"": ""E05"", ""drone_num"": 1, ""path"": ""avoidance"", ""area_bounds"": null, ""has_obstacle"": true, ""obstacle_position"": [50, 80], ""height"": 10}",'tuple' object has no attribute '__name__',API调用失败,复杂,未知,True,0.5,False,0.5,False,True,False,False,True,False,True
"E05 地块有电线杆障碍，坐标 (50,80)，请绕开",doubao-1-5-pro-32k-250115,普通提示词,True,False,2.662,"{""area"": ""E05"", ""drone_num"": 1, ""path"": ""avoidance"", ""area_bounds"": null, ""has_obstacle"": true, ""obstacle_position"": [50, 80], ""height"": 10}",'tuple' object has no attribute '__name__',API调用失败,复杂,未知,True,0.5,False,0.5,False,True,False,False,True,False,True
"E05 地块有电线杆障碍，坐标 (50,80)，请绕开",doubao-1-5-pro-32k-250115,普通提示词,True,False,2.3281,"{""area"": ""E05"", ""drone_num"": 1, ""path"": ""avoid"", ""area_bounds"": null, ""has_obstacle"": true, ""obstacle_position"": [50, 80], ""height"": 10}",'tuple' object has no attribute '__name__',API调用失败,复杂,未知,True,0.5,False,0.5,False,True,False,False,True,False,True
"E05 地块有电线杆障碍，坐标 (50,80)，请绕开",doubao-1-5-pro-32k-250115,普通提示词,True,False,2.5543,"{""area"": ""E05"", ""drone_num"": 1, ""path"": ""avoidance"", ""area_bounds"": null, ""has_obstacle"": true, ""obstacle_position"": [50, 80], ""height"": 10}",'tuple' object has no attribute '__name__',API调用失败,复杂,未知,True,0.5,False,0.5,False,True,False,False,True,False,True
"E05 地块有电线杆障碍，坐标 (50,80)，请绕开",doubao-1-5-pro-32k-250115,普通提示词,True,False,2.3391,"{""area"": ""E05"", ""drone_num"": 1, ""path"": ""avoid"", ""area_bounds"": null, ""has_obstacle"": true, ""obstacle_position"": [50, 80], ""height"": 10}",'tuple' object has no attribute '__name__',API调用失败,复杂,未知,True,0.5,False,0.5,False,True,False,False,True,False,True
6 台无人机巡检 F06 地块，高度 12 米，之字形路径,doubao-1-5-pro-32k-250115,普通提示词,True,True,2.3484,"{""area"": ""F06"", ""drone_num"": 6, ""path"": ""zigzag"", ""area_bounds"": null, ""has_obstacle"": false, ""obstacle_position"": null, ""height"": 12}",,,简单,巡检,False,1.0,False,1.0,False,True,True,True,True,True,True
6 台无人机巡检 F06 地块，高度 12 米，之字形路径,doubao-1-5-pro-32k-250115,普通提示词,True,True,2.8673,"{""area"": ""F06"", ""drone_num"": 6, ""path"": ""zigzag"", ""area_bounds"": null, ""has_obstacle"": false, ""obstacle_position"": null, ""height"": 12}",,,简单,巡检,False,1.0,False,1.0,False,True,True,True,True,True,True
6 台无人机巡检 F06 地块，高度 12 米，之字形路径,doubao-1-5-pro-32k-250115,普通提示词,True,True,2.9765,"{""area"": ""F06"", ""drone_num"": 6, ""path"": ""zigzag"", ""area_bounds"": null, ""has_obstacle"": false, ""obstacle_position"": null, ""height"": 12}",,,简单,巡检,False,1.0,False,1.0,False,True,True,True,True,True,True
6 台无人机巡检 F06 地块，高度 12 米，之字形路径,doubao-1-5-pro-32k-250115,普通提示词,True,True,2.9201,"{""area"": ""F06"", ""drone_num"": 6, ""path"": ""zigzag"", ""area_bounds"": null, ""has_obstacle"": false, ""obstacle_position"": null, ""height"": 12}",,,简单,巡检,False,1.0,False,1.0,False,True,True,True,True,True,True
6 台无人机巡检 F06 地块，高度 12 米，之字形路径,doubao-1-5-pro-32k-250115,普通提示词,True,True,3.2795,"{""area"": ""F06"", ""drone_num"": 6, ""path"": ""zigzag"", ""area_bounds"": null, ""has_obstacle"": false, ""obstacle_position"": null, ""height"": 12}",,,简单,巡检,False,1.0,False,1.0,False,True,True,True,True,True,True
巡检 G07 地块，无障碍物，飞行高度 9 米,doubao-1-5-pro-32k-250115,普通提示词,True,False,2.9379,"{""area"": ""G07"", ""drone_num"": 1, ""path"": ""zigzag"", ""area_bounds"": null, ""has_obstacle"": false, ""obstacle_position"": null, ""height"": 9}",,数值错误: drone_num,简单,巡检,False,0.8333,False,0.8,False,True,False,True,True,True,True
巡检 G07 地块，无障碍物，飞行高度 9 米,doubao-1-5-pro-32k-250115,普通提示词,True,False,2.346,"{""area"": ""G07"", ""drone_num"": 1, ""path"": ""default"", ""area_bounds"": null, ""has_obstacle"": false, ""obstacle_position"": null, ""height"": 9}",,"数值错误: drone_num,path",简单,巡检,False,0.6667,False,0.6,False,True,False,False,True,True,True
巡检 G07 地块，无障碍物，飞行高度 9 米,doubao-1-5-pro-32k-250115,普通提示词,True,False,3.2096,"{""area"": ""G07"", ""drone_num"": 1, ""path"": ""default"", ""area_bounds"": null, ""has_obstacle"": false, ""obstacle_position"": null, ""height"": 9}",,"数值错误: drone_num,path",简单,巡检,False,0.6667,False,0.6,False,True,False,False,True,True,True
巡检 G07 地块，无障碍物，飞行高度 9 米,doubao-1-5-pro-32k-250115,普通提示词,True,False,2.2559,"{""area"": ""G07"", ""drone_num"": 1, ""path"": ""zigzag"", ""area_bounds"": null, ""has_obstacle"": false, ""obstacle_position"": null, ""height"": 9}",,数值错误: drone_num,简单,巡检,False,0.8333,False,0.8,False,True,False,True,True,True,True
巡检 G07 地块，无障碍物，飞行高度 9 米,doubao-1-5-pro-32k-250115,普通提示词,True,False,3.2506,"{""area"": ""G07"", ""drone_num"": 1, ""path"": ""default"", ""area_bounds"": null, ""has_obstacle"": false, ""obstacle_position"": null, ""height"": 9}",,"数值错误: drone_num,path",简单,巡检,False,0.6667,False,0.6,False,True,False,False,True,True,True
"H08 地块巡检，4 台无人机，圆形路径，避开 (100,100) 的树",doubao-1-5-pro-32k-250115,普通提示词,True,False,2.342,"{""area"": ""H08"", ""drone_num"": 4, ""path"": ""circular"", ""area_bounds"": null, ""has_obstacle"": true, ""obstacle_position"": [100, 100], ""height"": null}",'tuple' object has no attribute '__name__',API调用失败,复杂,巡检,False,0.5,False,0.5455,False,True,True,False,True,False,False
"H08 地块巡检，4 台无人机，圆形路径，避开 (100,100) 的树",doubao-1-5-pro-32k-250115,普通提示词,True,False,3.7722,"{""area"": ""H08"", ""drone_num"": 4, ""path"": ""circular"", ""area_bounds"": null, ""has_obstacle"": true, ""obstacle_position"": [100, 100], ""height"": 10}",'tuple' object has no attribute '__name__',API调用失败,复杂,巡检,False,0.6667,False,0.6667,False,True,True,False,True,False,True
"H08 地块巡检，4 台无人机，圆形路径，避开 (100,100) 的树",doubao-1-5-pro-32k-250115,普通提示词,True,False,3.052,"{""area"": ""H08"", ""drone_num"": 4, ""path"": ""circular"", ""area_bounds"": null, ""has_obstacle"": true, ""obstacle_position"": [100, 100], ""height"": 10}",'tuple' object has no attribute '__name__',API调用失败,复杂,巡检,False,0.6667,False,0.6667,False,True,True,False,True,False,True
"H08 地块巡检，4 台无人机，圆形路径，避开 (100,100) 的树",doubao-1-5-pro-32k-250115,普通提示词,True,False,3.3021,"{""area"": ""H08"", ""drone_num"": 4, ""path"": ""circular"", ""area_bounds"": null, ""has_obstacle"": true, ""obstacle_position"": [100, 100], ""height"": 10}",'tuple' object has no attribute '__name__',API调用失败,复杂,巡检,False,0.6667,False,0.6667,False,True,True,False,True,False,True
"H08 地块巡检，4 台无人机，圆形路径，避开 (100,100) 的树",doubao-1-5-pro-32k-250115,普通提示词,True,False,3.442,"{""area"": ""H08"", ""drone_num"": 4, ""path"": ""circle"", ""area_bounds"": null, ""has_obstacle"": true, ""obstacle_position"": [100, 100], ""height"": 10}",'tuple' object has no attribute '__name__',API调用失败,复杂,巡检,False,0.6667,False,0.6667,False,True,True,False,True,False,True
批量巡检 I09、J10 地块，各用 2 台无人机，高度 11 米,doubao-1-5-pro-32k-250115,普通提示词,True,False,3.5996,"{""area"": ""I09、J10"", ""drone_num"": 2, ""path"": ""zigzag"", ""area_bounds"": null, ""has_obstacle"": false, ""obstacle_position"": null, ""height"": 11}",,"数值错误: area,drone_num,path",复杂,巡检,False,0.5,False,0.4,False,False,False,False,True,True,True
批量巡检 I09、J10 地块，各用 2 台无人机，高度 11 米,doubao-1-5-pro-32k-250115,普通提示词,True,False,3.0097,"{""area"": ""I09、J10"", ""drone_num"": 2, ""path"": ""zigzag"", ""area_bounds"": null, ""has_obstacle"": false, ""obstacle_position"": null, ""height"": 11}",,"数值错误: area,drone_num,path",复杂,巡检,False,0.5,False,0.4,False,False,False,False,True,True,True
批量巡检 I09、J10 地块，各用 2 台无人机，高度 11 米,doubao-1-5-pro-32k-250115,普通提示词,True,False,2.9799,"{""area"": ""I09、J10"", ""drone_num"": 2, ""path"": ""zigzag"", ""area_bounds"": null, ""has_obstacle"": false, ""obstacle_position"": null, ""height"": 11}",,"数值错误: area,drone_num,path",复杂,巡检,False,0.5,False,0.4,False,False,False,False,True,True,True
批量巡检 I09、J10 地块，各用 2 台无人机，高度 11 米,doubao-1-5-pro-32k-250115,普通提示词,True,False,3.528,"{""area"": ""I09、J10"", ""drone_num"": 2, ""path"": null, ""area_bounds"": null, ""has_obstacle"": false, ""obstacle_position"": null, ""height"": 11}",,类型错误: path(NoneType≠str),复杂,巡检,False,0.5,False,0.4444,False,False,False,False,True,True,True
批量巡检 I09、J10 地块，各用 2 台无人机，高度 11 米,doubao-1-5-pro-32k-250115,普通提示词,True,False,3.2559,"{""area"": ""I09、J10"", ""drone_num"": 2, ""path"": ""zigzag"", ""area_bounds"": null, ""has_obstacle"": false, ""obstacle_position"": null, ""height"": 11}",,"数值错误: area,drone_num,path",复杂,巡检,False,0.5,False,0.4,False,False,False,False,True,True,True
K11 地块病虫害检测，1 台无人机，网格路径，高度 18 米,doubao-1-5-pro-32k-250115,普通提示词,True,True,2.1363,"{""area"": ""K11"", ""drone_num"": 1, ""path"": ""grid"", ""area_bounds"": null, ""has_obstacle"": false, ""obstacle_position"": null, ""height"": 18}",,,中等,病虫害检测,True,1.0,False,1.0,False,True,True,True,True,True,True
K11 地块病虫害检测，1 台无人机，网格路径，高度 18 米,doubao-1-5-pro-32k-250115,普通提示词,True,True,2.7818,"{""area"": ""K11"", ""drone_num"": 1, ""path"": ""grid"", ""area_bounds"": null, ""has_obstacle"": false, ""obstacle_position"": null, ""height"": 18}",,,中等,病虫害检测,True,1.0,False,1.0,False,True,True,True,True,True,True
K11 地块病虫害检测，1 台无人机，网格路径，高度 18 米,doubao-1-5-pro-32k-250115,普通提示词,True,True,2.949,"{""area"": ""K11"", ""drone_num"": 1, ""path"": ""grid"", ""area_bounds"": null, ""has_obstacle"": false, ""obstacle_position"": null, ""height"": 18}",,,中等,病虫害检测,True,1.0,False,1.0,False,True,True,True,True,True,True
K11 地块病虫害检测，1 台无人机，网格路径，高度 18 米,doubao-1-5-pro-32k-250115,普通提示词,True,True,2.4398,"{""area"": ""K11"", ""drone_num"": 1, ""path"": ""grid"", ""area_bounds"": null, ""has_obstacle"": false, ""obstacle_position"": null, ""height"": 18}",,,中等,病虫害检测,True,1.0,False,1.0,False,True,True,True,True,True,True
K11 地块病虫害检测，1 台无人机，网格路径，高度 18 米,doubao-1-5-pro-32k-250115,普通提示词,True,True,2.4626,"{""area"": ""K11"", ""drone_num"": 1, ""path"": ""grid"", ""area_bounds"": null, ""has_obstacle"": false, ""obstacle_position"": null, ""height"": 18}",,,中等,病虫害检测,True,1.0,False,1.0,False,True,True,True,True,True,True
L12 地块有多个障碍，先标记存在障碍，坐标暂不指定,doubao-1-5-pro-32k-250115,普通提示词,True,False,1.961,"{""area"": ""L12"", ""drone_num"": null, ""path"": null, ""area_bounds"": null, ""has_obstacle"": true, ""obstacle_position"": null, ""height"": null}",,"类型错误: drone_num(NoneType≠int),path(NoneType≠str),height(NoneType≠int)",简单,未知,True,0.5,False,0.5714,False,True,False,False,True,True,False
L12 地块有多个障碍，先标记存在障碍，坐标暂不指定,doubao-1-5-pro-32k-250115,普通提示词,True,False,2.4671,"{""area"": ""L12"", ""drone_num"": null, ""path"": null, ""area_bounds"": null, ""has_obstacle"": true, ""obstacle_position"": null, ""height"": null}",,"类型错误: drone_num(NoneType≠int),path(NoneType≠str),height(NoneType≠int)",简单,未知,True,0.5,False,0.5714,False,True,False,False,True,True,False
L12 地块有多个障碍，先标记存在障碍，坐标暂不指定,doubao-1-5-pro-32k-250115,普通提示词,True,False,2.3621,"{""area"": ""L12"", ""drone_num"": null, ""path"": null, ""area_bounds"": null, ""has_obstacle"": true, ""obstacle_position"": null, ""height"": null}",,"类型错误: drone_num(NoneType≠int),path(NoneType≠str),height(NoneType≠int)",简单,未知,True,0.5,False,0.5714,False,True,False,False,True,True,False
L12 地块有多个障碍，先标记存在障碍，坐标暂不指定,doubao-1-5-pro-32k-250115,普通提示词,True,False,2.1988,"{""area"": ""L12"", ""drone_num"": null, ""path"": null, ""area_bounds"": null, ""has_obstacle"": true, ""obstacle_position"": null, ""height"": null}",,"类型错误: drone_num(NoneType≠int),path(NoneType≠str),height(NoneType≠int)",简单,未知,True,0.5,False,0.5714,False,True,False,False,True,True,False
L12 地块有多个障碍，先标记存在障碍，坐标暂不指定,doubao-1-5-pro-32k-250115,普通提示词,True,False,3.0011,"{""area"": ""L12"", ""drone_num"": null, ""path"": null, ""area_bounds"": null, ""has_obstacle"": true, ""obstacle_position"": null, ""height"": null}",,"类型错误: drone_num(NoneType≠int),path(NoneType≠str),height(NoneType≠int)",简单,未知,True,0.5,False,0.5714,False,True,False,False,True,True,False
M13 地块巡检，5 台无人机，高度 7 米，绕圈飞行,doubao-1-5-pro-32k-250115,普通提示词,True,False,2.8965,"{""area"": ""M13"", ""drone_num"": 5, ""path"": ""circle"", ""area_bounds"": null, ""has_obstacle"": false, ""obstacle_position"": null, ""height"": 7}",,数值错误: path,中等,巡检,False,0.8333,False,0.8,False,True,True,False,True,True,True
M13 地块巡检，5 台无人机，高度 7 米，绕圈飞行,doubao-1-5-pro-32k-250115,普通提示词,True,False,2.2746,"{""area"": ""M13"", ""drone_num"": 5, ""path"": ""circle"", ""area_bounds"": null, ""has_obstacle"": false, ""obstacle_position"": null, ""height"": 7}",,数值错误: path,中等,巡检,False,0.8333,False,0.8,False,True,True,False,True,True,True
M13 地块巡检，5 台无人机，高度 7 米，绕圈飞行,doubao-1-5-pro-32k-250115,普通提示词,True,False,2.5311,"{""area"": ""M13"", ""drone_num"": 5, ""path"": ""circle"", ""area_bounds"": null, ""has_obstacle"": false, ""obstacle_position"": null, ""height"": 7}",,数值错误: path,中等,巡检,False,0.8333,False,0.8,False,True,True,False,True,True,True
M13 地块巡检，5 台无人机，高度 7 米，绕圈飞行,doubao-1-5-pro-32k-250115,普通提示词,True,False,3.8359,"{""area"": ""M13"", ""drone_num"": 5, ""path"": ""circle"", ""area_bounds"": null, ""has_obstacle"": false, ""obstacle_position"": null, ""height"": 7}",,数值错误: path,中等,巡检,False,0.8333,False,0.8,False,True,True,False,True,True,True
M13 地块巡检，5 台无人机，高度 7 米，绕圈飞行,doubao-1-5-pro-32k-250115,普通提示词,True,False,2.6438,"{""area"": ""M13"", ""drone_num"": 5, ""path"": ""circle"", ""area_bounds"": null, ""has_obstacle"": false, ""obstacle_position"": null, ""height"": 7}",,数值错误: path,中等,巡检,False,0.8333,False,0.8,False,True,True,False,True,True,True
默认地块巡检，3 台无人机，默认高度和路径,doubao-1-5-pro-32k-250115,普通提示词,True,False,2.3191,"{""area"": ""default"", ""drone_num"": 3, ""path"": ""default"", ""area_bounds"": null, ""has_obstacle"": false, ""obstacle_position"": null, ""height"": ""default""}",,类型错误: height(str≠int),简单,巡检,False,0.5,False,0.4,False,False,True,False,True,True,False
默认地块巡检，3 台无人机，默认高度和路径,doubao-1-5-pro-32k-250115,普通提示词,True,False,2.3011,"{""area"": ""default"", ""drone_num"": 3, ""path"": ""default"", ""area_bounds"": null, ""has_obstacle"": false, ""obstacle_position"": null, ""height"": ""default""}",,类型错误: height(str≠int),简单,巡检,False,0.5,False,0.4,False,False,True,False,True,True,False
默认地块巡检，3 台无人机，默认高度和路径,doubao-1-5-pro-32k-250115,普通提示词,True,False,2.2651,"{""area"": ""default"", ""drone_num"": 3, ""path"": ""default"", ""area_bounds"": null, ""has_obstacle"": false, ""obstacle_position"": null, ""height"": ""default""}",,类型错误: height(str≠int),简单,巡检,False,0.5,False,0.4,False,False,True,False,True,True,False
